Query,Match 1,Match 2,Match 3,Match 4,Match 5,Match 6,Match 7,Match 8,Match 9,Match 10,Match 11,Match 12,Match 13,Match 14,Match 15,Match 16,Match 17,Match 18,Match 19,Match 20,Match 21,Match 22,Match 23
#MIXED QUERY,,,,,,,,,,,MIXED QUERY,,,,,,,,,,,,
Machines with the highest number of caps closed or bootle closed,euro pk,next vp,next pk,equatorque,euro pp-c,euro pp-g,euro vp,euro va,euro vpa,over,flex,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market beverage,euro pk ,next vp,next pk,eagle pk,euro vp,eagle vp,geyser,equatorque,euro va-cb,euro va,eagle va,esse,esse pk,eagle c,reverse,over,flex,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market beer,eagle pp,esse,esse pk,eagle c,quasar r,quasar f,quasar rf,gemini r,gemini f,gemini rf,euro va-cb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market food ,euro pk,next vp,next pk,eagle pk,euro vp,eagle vp,geyser,equatorque,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va,eagle va,esse,esse pk,reverse,over,flex,NULL,NULL,NULL,NULL
Machines with main market chemical,euro pk,next vp,next pk,eagle pk,euro vp,eagle vp,equatorque,euro pp-c,euro pp-g,kamma pkv,eagle pp,over,flex,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market pharmaceutical,euro pk,next vp,next pk,eagle pk,euro vp,eagle vp,equatorque,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va,eagle va,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market personal care,euro dd,euro pp-c,euro pp-g,kamma pkv,eagle pp,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market home care,euro dd,euro pp-c,euro pp-g,kamma pkv,eagle pp,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market spirits,eagle vp,euro vpa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market wine ,esse,esse pk,quasar r,quasar f,quasar rf,saturno r,saturno f,saturno rf,gemini r,gemini f,gemini rf,la champenoise,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market wine and spirits,euro pp-c,euro pp-g,kamma pkv,eagle pp,euro va,eagle va,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with main market champagne,esse,eagle c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines using plastic pressure caps,euro pp-c,euro pp-g,kamma pkv,eagle pp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines using mushroom plastic caps,euro pp-c,euro pp-g,kamma pkv,eagle pp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with mushroom corks,quasar r,quasar f,quasar rf,saturno r,saturno f,saturno rf,gemini r,gemini f,gemini rf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with straight corks,quasar r,quasar f,quasar rf,saturno r,saturno f,saturno rf,gemini r,gemini f,gemini rf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with T caps ,euro pp-c,euro pp-g,kamma pkv,eagle pp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines with closure chuck with vacuum,kamma pkv,eagle pp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines for aluminium caps ,euro va-cb,euro va,euro vpa,eagle va,esse,reverse,la champenoise,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines wih arms with hard metal insert,reverse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Machines for steel crown corks,esse pk,over,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
